open_time,open,high,low,close,volume,close_time,quote_volume,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-01-31,108.29,110.61,105.46,106.44,290679.61935,2019-01-31 23:59:59.999,31234353.515393,102532,146487.22950000,15737903.30964070,0
2019-02-01,106.47,108.35,103.77,106.73,243149.88435,2019-02-01 23:59:59.999,25791535.1460238,86314,120649.43802000,12804365.58085350,0
2019-02-02,106.71,111.15,106.07,110.42,186908.7573,2019-02-02 23:59:59.999,20153872.302919,67351,100348.93660000,10827638.07130800,0
2019-02-03,110.41,111.11,105.82,107.36,227211.54064,2019-02-03 23:59:59.999,24605892.2887283,78309,104902.65217000,11357020.01986990,0
2019-02-04,107.33,109.3,106.57,107.68,160850.10293,2019-02-04 23:59:59.999,17312736.6001502,65698,83257.70317000,8963437.58940170,0
2019-02-05,107.65,108.18,106.47,107.27,159730.1886,2019-02-05 23:59:59.999,17137008.2478395,68422,82850.20631000,8888920.04602780,0
2019-02-06,107.28,107.83,101.21,104.5,337204.30254,2019-02-06 23:59:59.999,34984364.2970212,113955,165235.43945000,17141978.43084300,0
2019-02-07,104.49,106.18,103.82,104.48,147942.07683,2019-02-07 23:59:59.999,15530160.6471066,68959,74195.91673000,7790406.45878510,0
2019-02-08,104.48,123.0,103.41,119.25,589950.64925,2019-02-08 23:59:59.999,67027886.9398639,177364,304660.09924000,34611554.24201510,0
2019-02-09,119.32,121.99,117.64,119.19,328067.9574,2019-02-09 23:59:59.999,39061582.3914826,118457,169285.11511000,20160805.16218450,0
2019-02-10,119.19,126.49,115.81,125.12,385819.09619,2019-02-10 23:59:59.999,45929459.1290131,146060,202272.64362000,24082781.02284420,0
2019-02-11,125.12,125.28,119.24,120.89,389405.30404,2019-02-11 23:59:59.999,47197595.845191,129000,194142.33374000,23522764.79487780,0
2019-02-12,120.88,123.89,118.18,122.41,343765.66987,2019-02-12 23:59:59.999,41603632.811699,114396,176467.18014000,21367768.98581490,0
2019-02-13,122.4,126.47,120.7,121.86,317827.31956,2019-02-13 23:59:59.999,39073077.8391656,122122,160797.73684000,19767987.32759330,0
2019-02-14,121.86,124.5,120.1,120.42,297205.78738,2019-02-14 23:59:59.999,36278326.0774455,101574,144929.76588000,17693650.10874510,0
2019-02-15,120.47,124.25,120.19,121.67,255296.0814,2019-02-15 23:59:59.999,31111280.2093057,100464,132203.05707000,16114091.27653240,0
2019-02-16,121.66,124.99,121.54,122.67,215320.70134,2019-02-16 23:59:59.999,26462034.6125396,84959,112117.92743000,13779969.81103600,0
